Dataset,Model,Cost,Fold,Label Index,Label Name,Coverage,Full F1,Full Hamming Accuracy,Full Precision,Full Recall,Negative Support,Positive Support,Prevalence,Rejected Error Count,Rejected Position Count,Selective F1,Selective Precision,Selective Recall
emotions,BR_SVM,,1,0,amazed-suprised,1.0,0.56,0.819672131147541,0.875,0.4117647058823529,88,34,0.2786885245901639,0,0,0.56,0.875,0.4117647058823529
emotions,BR_SVM,,1,1,happy-pleased,1.0,0.10256410256410256,0.7131147540983607,0.3333333333333333,0.06060606060606061,89,33,0.27049180327868855,0,0,0.10256410256410256,0.3333333333333333,0.06060606060606061
emotions,BR_SVM,,1,2,relaxing-calm,1.0,0.6923076923076923,0.7377049180327869,0.7058823529411765,0.6792452830188679,69,53,0.4344262295081967,0,0,0.6923076923076923,0.7058823529411765,0.6792452830188679
emotions,BR_SVM,,1,3,quiet-still,1.0,0.7777777777777778,0.9016393442622951,0.875,0.7,92,30,0.2459016393442623,0,0,0.7777777777777778,0.875,0.7
emotions,BR_SVM,,1,4,sad-lonely,1.0,0.6779661016949152,0.8442622950819673,0.8,0.5882352941176471,88,34,0.2786885245901639,0,0,0.6779661016949152,0.8,0.5882352941176471
emotions,BR_SVM,,1,5,angry-aggresive,1.0,0.775,0.8524590163934426,0.7380952380952381,0.8157894736842105,84,38,0.3114754098360656,0,0,0.775,0.7380952380952381,0.8157894736842105
emotions,BR_SVM,,2,0,amazed-suprised,1.0,0.5483870967741935,0.7647058823529411,0.6296296296296297,0.4857142857142857,84,35,0.29411764705882354,0,0,0.5483870967741935,0.6296296296296297,0.4857142857142857
emotions,BR_SVM,,2,1,happy-pleased,1.0,0.0,0.7142857142857143,0.0,0.0,86,33,0.2773109243697479,0,0,0.0,0.0,0.0
emotions,BR_SVM,,2,2,relaxing-calm,1.0,0.6185567010309279,0.6890756302521008,0.6666666666666666,0.5769230769230769,67,52,0.4369747899159664,0,0,0.6185567010309279,0.6666666666666666,0.5769230769230769
emotions,BR_SVM,,2,3,quiet-still,1.0,0.8301886792452831,0.9243697478991597,0.9166666666666666,0.7586206896551724,90,29,0.24369747899159663,0,0,0.8301886792452831,0.9166666666666666,0.7586206896551724
emotions,BR_SVM,,2,4,sad-lonely,1.0,0.5882352941176471,0.8235294117647058,0.8333333333333334,0.45454545454545453,86,33,0.2773109243697479,0,0,0.5882352941176471,0.8333333333333334,0.45454545454545453
emotions,BR_SVM,,2,5,angry-aggresive,1.0,0.6984126984126984,0.8403361344537815,0.88,0.5789473684210527,81,38,0.31932773109243695,0,0,0.6984126984126984,0.88,0.5789473684210527
