Dataset,Model,Fold,Hamming Accuracy,Hamming Loss,Instance Jaccard,Instance-F1,Macro Precision,Macro Recall,Macro-F1,Micro-F1,Subset Accuracy
emotions,BR_Logistic,1,0.8114754098360656,0.1885245901639344,0.5047814207650273,0.5685792349726776,0.7269035249427406,0.5557807468929614,0.6111172188011763,0.6479591836734694,0.29508196721311475
emotions,BR_Logistic,2,0.7969187675070029,0.2030812324929972,0.4481792717086835,0.5142857142857142,0.7445689666084404,0.5056979670863518,0.5903093203093203,0.6070460704607046,0.24369747899159663
emotions,BR_Logistic,3,0.7926829268292683,0.2073170731707317,0.45799457994579945,0.5363143631436316,0.6337012987012988,0.5451540377580409,0.5742504226103112,0.6184538653366584,0.21138211382113822
emotions,BR_Logistic,4,0.7986111111111112,0.2013888888888889,0.46944444444444444,0.5438888888888889,0.7363181553045598,0.5343888595129905,0.6032960188532944,0.6253229974160207,0.24166666666666667
emotions,BR_Logistic,5,0.7935779816513762,0.20642201834862386,0.49006116207951067,0.5642201834862385,0.7499873043276342,0.5282374452594675,0.6069701813350067,0.6456692913385826,0.26605504587155965
emotions,BR_MLP,1,0.7035519125683061,0.296448087431694,0.4826502732240437,0.6032006245120999,0.5177543967840621,0.7966968003535561,0.6184258283840555,0.6226086956521739,0.10655737704918032
emotions,BR_MLP,2,0.7380952380952381,0.2619047619047619,0.5162464985994398,0.619607843137255,0.5586756746939813,0.7850089011613512,0.6464928858477245,0.649155722326454,0.18487394957983194
emotions,BR_MLP,3,0.7330623306233062,0.2669376693766938,0.49444444444444446,0.6139372822299652,0.5190502527507862,0.7779531503363261,0.6204836267779792,0.6385321100917432,0.13008130081300814
emotions,BR_MLP,4,0.7527777777777778,0.24722222222222223,0.5527777777777778,0.6678174603174604,0.5800766108446705,0.8556800596318093,0.6829624072591506,0.6821428571428572,0.175
emotions,BR_MLP,5,0.7492354740061162,0.25076452599388377,0.5707951070336391,0.6805591961555265,0.5984034383299127,0.8351293513102029,0.6920664096228006,0.6962962962962963,0.2018348623853211
emotions,CC_Logistic,1,0.7827868852459017,0.21721311475409835,0.5273224043715846,0.594808743169399,0.6449762280391084,0.60235213281244,0.5907550407550407,0.6327944572748267,0.3114754098360656
emotions,CC_Logistic,2,0.7801120448179272,0.21988795518207283,0.5289915966386555,0.6008403361344539,0.635802893747809,0.617851013676785,0.6039173957071541,0.634032634032634,0.31092436974789917
emotions,CC_Logistic,3,0.7615176151761518,0.23848238482384823,0.475609756097561,0.5588075880758806,0.5551111259156478,0.583139619009725,0.5560457900544787,0.6,0.21951219512195122
emotions,CC_Logistic,4,0.7819444444444444,0.21805555555555556,0.5252777777777778,0.6080555555555556,0.6696673353020103,0.6097012155047087,0.6084556298111286,0.6374133949191686,0.2833333333333333
emotions,CC_Logistic,5,0.7737003058103975,0.22629969418960244,0.531651376146789,0.6162079510703365,0.6656288421165567,0.5995996743616347,0.6067737361901421,0.6509433962264151,0.29357798165137616
emotions,CC_MLP,1,0.7117486338797814,0.28825136612021857,0.4733606557377049,0.5591725214676034,0.5252769698989187,0.6899628034536617,0.5865889368380244,0.5950095969289827,0.19672131147540983
emotions,CC_MLP,2,0.7408963585434174,0.25910364145658266,0.5287114845938375,0.6291716686674671,0.5559155518533988,0.7798668210192711,0.6448236819185409,0.6489563567362429,0.21008403361344538
emotions,CC_MLP,3,0.7168021680216803,0.28319783197831977,0.48414634146341473,0.5872241579558652,0.5048957964282038,0.7364833494229951,0.5962454467424938,0.6093457943925233,0.17886178861788618
emotions,CC_MLP,4,0.7305555555555556,0.26944444444444443,0.5093055555555556,0.6091666666666666,0.5534108477949058,0.7434170887818882,0.622776382821555,0.6311787072243346,0.2
emotions,CC_MLP,5,0.7370030581039755,0.26299694189602446,0.5466360856269113,0.6322411533420709,0.5908847286972286,0.7697294939160703,0.6624502351392815,0.667953667953668,0.26605504587155965
emotions,MLC_PA_Logistic,1,0.8114754098360656,0.1885245901639344,0.5047814207650273,0.5685792349726776,0.7269035249427406,0.5557807468929614,0.6111172188011763,0.6479591836734694,0.29508196721311475
emotions,MLC_PA_Logistic,2,0.7969187675070029,0.2030812324929972,0.4481792717086835,0.5142857142857142,0.7445689666084404,0.5056979670863518,0.5903093203093203,0.6070460704607046,0.24369747899159663
